Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Patrick van Aanholt\Patrick-van-Aanholt,NED,DF,Crystal Palace,28,1990,27.9,1839,95,529,883,532,51,1458,18,36,50,18,2,1000,5651,3130,1079,994,92.1,21,16
Max Aarons\Max-Aarons,ENG,DF,Norwich City,19,2000,36,2133,178,803,903,594,52,1821,49,94,52.1,55,2,1321,9483,5431,1399,1244,88.9,39,48
Tammy Abraham\Tammy-Abraham,ENG,FW,Chelsea,21,1997,24.6,739,31,59,354,352,165,688,21,36,58.3,22,0,427,2315,1159,1076,495,46,71,47
Che Adams\Che-Adams,ENG,FW,Southampton,23,1996,12.3,441,10,35,203,235,68,433,15,27,55.6,15,1,308,1837,841,657,315,47.9,44,29
Adrián\Adrian,ESP,GK,Liverpool,32,1987,9.7,338,300,338,0,0,0,244,0,0,,0,0,163,638,356,155,154,99.4,0,0
Sergio Agüero\Sergio-Aguero,ARG,FW,Manchester City,31,1988,16.1,572,2,21,207,386,154,551,27,45,60,28,2,428,2539,1396,780,450,57.7,24,41
Albian Ajeti\Albian-Ajeti,SUI,MFFW,West Ham,22,1997,1.5,33,0,1,9,24,9,32,0,0,,0,0,16,75,16,64,24,37.5,5,3
Nathan Aké\Nathan-Ake,NED,DF,Bournemouth,24,1995,27.8,1508,278,920,596,86,34,1455,5,5,100,5,0,845,5266,2910,948,900,94.9,7,5
Marc Albrighton\Marc-Albrighton,ENG,MFDF,Leicester City,29,1989,9.6,622,13,111,258,295,23,587,10,29,34.5,13,2,420,2558,1176,495,429,86.7,9,12
Toby Alderweireld\Toby-Alderweireld,BEL,DF,Tottenham,30,1989,32.9,2265,353,1224,1038,114,22,2185,0,2,0,0,0,1362,6528,3056,1535,1500,97.7,3,2
Trent Alexander-Arnold\Trent-Alexander-Arnold,ENG,DF,Liverpool,20,1998,35.3,3520,105,848,1641,1246,63,2865,26,56,46.4,30,4,2108,9335,5698,2363,2230,94.4,36,22
Alisson\Alisson,BRA,GK,Liverpool,26,1992,28.3,984,804,976,9,0,0,760,0,0,,0,0,549,2115,1090,494,490,99.2,1,0
Dele Alli\Dele-Alli,ENG,MFFW,Tottenham,23,1996,20.5,1132,37,171,575,471,96,1076,32,63,50.8,36,7,747,4583,2502,1102,773,70.1,45,56
Miguel Almirón\Miguel-Almiron,PAR,MFFW,Newcastle Utd,25,1994,33.6,1309,44,314,553,602,90,1297,46,93,49.5,54,5,975,9236,5220,1281,894,69.8,60,54
Marcos Alonso\Marcos-Alonso,ESP,DF,Chelsea,28,1990,15.9,1313,30,326,563,511,72,1146,12,19,63.2,12,0,841,4760,2735,928,829,89.3,20,22
Steven Alzate\Steven-Alzate,COL,MFDF,Brighton,20,1998,13.2,838,31,215,406,272,44,787,33,50,66,35,4,618,3821,2140,638,557,87.3,20,28
Ibrahim Amadou\Ibrahim-Amadou,FRA,DFMF,Norwich City,26,1993,8.4,470,107,329,143,14,4,464,2,3,66.7,2,0,253,1003,474,297,289,97.3,1,1
Felipe Anderson\Felipe-Anderson,BRA,MFFW,West Ham,26,1993,16.6,1163,26,166,616,517,68,1138,66,97,68,70,5,932,7366,4575,1042,889,85.3,33,35
Florin Andone\Florin-Andone,ROU,MFFW,Brighton,26,1993,0.8,29,3,4,12,16,7,28,2,4,50,2,0,17,218,151,33,16,48.5,5,2
Angeliño\Angelino,ESP,DF,Manchester City,22,1997,4.7,477,16,98,199,214,10,429,5,8,62.5,5,2,321,1545,942,361,343,95,3,4
Faustino Anjorin\Faustino-Anjorin,ENG,FW,Chelsea,17,2001,0.2,12,0,1,5,6,2,12,1,1,100,1,0,10,67,40,11,8,72.7,0,1
Michail Antonio\Michail-Antonio,ENG,FW,West Ham,29,1990,19.6,851,12,47,305,557,126,811,71,107,66.4,74,3,601,4523,2699,1134,626,55.2,71,49
Stuart Armstrong\Stuart-Armstrong,SCO,MF,Southampton,27,1992,19.1,882,47,167,412,368,49,863,31,53,58.5,33,2,593,4281,2315,732,560,76.5,37,29
Kepa Arrizabalaga\Kepa-Arrizabalaga,ESP,GK,Chelsea,24,1994,33,1134,1003,1129,5,0,0,882,0,0,,0,0,681,2609,1488,646,646,100,0,0
Christian Atsu\Christian-Atsu,GHA,FWMF,Newcastle Utd,27,1992,8.3,332,12,82,133,158,20,323,19,40,47.5,21,1,255,1974,1173,321,215,67,21,20
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,GAB,FW,Arsenal,30,1989,34.8,1248,29,158,502,673,168,1214,25,49,51,29,0,865,6213,3885,1528,939,61.5,58,39
Serge Aurier\Serge-Aurier,CIV,DF,Tottenham,26,1992,30,2057,119,582,894,680,54,1789,46,73,63,46,7,1198,5613,3135,1297,1146,88.4,36,31
Jordan Ayew\Jordan-Ayew,GHA,FWMF,Crystal Palace,27,1991,35,1366,30,178,671,637,136,1331,75,117,64.1,78,4,1012,7697,3824,1682,956,56.8,99,108
César Azpilicueta\Cesar-Azpilicueta,ESP,DF,Chelsea,29,1989,35.9,3273,131,985,1550,877,98,2878,15,24,62.5,17,1,1947,7181,4096,2231,2095,93.9,24,13
Eric Bailly\Eric-Bailly,CIV,DF,Manchester Utd,25,1994,1.7,87,15,39,50,0,0,87,1,1,100,1,0,58,249,145,52,52,100,0,2
Leighton Baines\Leighton-Baines,ENG,DF,Everton,34,1984,4.5,255,22,60,98,103,1,203,1,2,50,2,0,136,502,281,149,136,91.3,3,3
Fabián Balbuena\Fabian-Balbuena,PAR,DF,West Ham,27,1991,13.1,653,96,350,311,27,16,635,0,0,,0,0,308,1777,977,344,329,95.6,2,0
George Baldock\George-Baldock,ENG,DF,Sheffield Utd,26,1993,38,1937,105,417,691,932,64,1641,43,67,64.2,46,0,1156,7492,3888,1250,1055,84.4,33,31
Phil Bardsley\Phil-Bardsley,SCO,DF,Burnley,34,1985,21,1130,95,343,592,240,11,898,5,8,62.5,5,0,460,2392,1196,520,488,93.8,6,7
Ross Barkley\Ross-Barkley,ENG,MF,Chelsea,25,1993,12.3,779,15,93,405,339,43,769,33,42,78.6,34,1,650,3910,1859,695,618,88.9,20,37
Ashley Barnes\Ashley-Barnes,AUT,FW,Burnley,29,1989,15,435,15,45,195,213,55,426,11,17,64.7,13,0,257,1055,452,706,298,42.2,41,20
Harvey Barnes\Harvey-Barnes,ENG,MFFW,Leicester City,21,1997,23.1,1019,14,104,414,592,134,1016,37,78,47.4,43,4,781,6326,4327,1114,823,73.9,50,40
Chris Basham\Chris-Basham,ENG,DF,Sheffield Utd,31,1988,36,1951,249,801,879,368,42,1788,27,32,84.4,27,0,962,5324,2915,989,905,91.5,20,15
Borja Bastón\Borja-Baston,ESP,MFFW,Aston Villa,26,1992,0.2,7,1,1,5,3,1,7,0,0,,0,0,5,30,19,7,4,57.1,1,0
Michy Batshuayi\Michy-Batshuayi,BEL,FW,Chelsea,25,1993,2.7,120,2,13,54,61,32,114,4,8,50,6,0,84,522,300,181,87,48.1,10,4
Jan Bednarek\Jan-Bednarek,POL,DF,Southampton,23,1996,34,1939,260,947,1009,45,17,1878,2,2,100,2,0,896,3872,1855,966,953,98.7,5,1
Héctor Bellerín\Hector-Bellerin,ESP,DF,Arsenal,24,1995,12.9,837,34,254,430,212,28,710,16,35,45.7,21,2,489,2887,1810,548,500,91.2,11,16
Ryan Bennett\Ryan-Bennett,ENG,DF,Wolves,29,1990,6.7,315,50,166,134,27,7,300,0,0,,0,0,144,477,235,162,157,96.9,0,3
Ryan Bennett\Ryan-Bennett,ENG,DF,Leicester City,29,1990,3.7,248,12,105,138,22,0,228,0,0,,0,0,132,728,372,162,155,95.7,0,0
Nabil Bentaleb\Nabil-Bentaleb,ALG,MF,Newcastle Utd,24,1994,8.3,482,24,142,301,56,2,471,6,8,75,6,1,266,1065,416,299,288,96.3,1,4
Christian Benteke\Christian-Benteke,BEL,FW,Crystal Palace,28,1990,14,540,36,52,236,277,93,527,15,25,60,17,0,271,1886,968,724,402,55.5,44,30
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,ISL,MF,Burnley,28,1990,6.9,249,10,35,86,147,27,240,6,8,75,6,1,179,1177,568,216,159,73.6,4,7
Sander Berge\Sander-Berge,NOR,MF,Sheffield Utd,21,1998,10.5,497,24,89,225,210,21,488,14,17,82.4,15,0,309,1907,926,359,310,86.4,10,16
Steven Bergwijn\Steven-Bergwijn,NED,FWMF,Tottenham,21,1997,7.8,351,4,53,171,160,27,339,10,26,38.5,13,0,235,1852,1143,342,233,68.1,12,16
Bernard\Bernard,BRA,MFFW,Everton,26,1992,14.2,763,10,95,383,352,50,748,36,61,59,41,1,608,3808,2095,691,546,79,35,34
Bernardo\Bernardo,BRA,DF,Brighton,24,1995,7.5,483,30,160,211,142,14,433,9,12,75,10,0,281,1724,1003,327,285,87.2,13,10
Ryan Bertrand\Ryan-Bertrand,ENG,DF,Southampton,29,1989,30.5,1984,69,422,934,740,52,1578,9,26,34.6,10,1,1003,5856,3273,1205,1064,88.3,29,33
Muhamed Bešić\Muhamed-Besic,BIH,MF,Sheffield Utd,26,1992,2.8,137,9,36,59,49,3,136,9,10,90,9,0,96,489,174,96,84,87.5,2,2
Philip Billing\Philip-Billing,DEN,MF,Bournemouth,23,1996,28.1,1632,134,477,799,436,60,1576,20,38,52.6,22,0,853,4587,2125,1063,891,83.8,35,30
Yves Bissouma\Yves-Bissouma,MLI,MF,Brighton,22,1996,14,840,32,226,471,206,12,830,26,43,60.5,29,2,573,4114,2030,586,542,92.5,32,29
Willy Boly\Willy-Boly,FRA,DF,Wolves,28,1991,22,1235,148,653,603,47,19,1218,10,12,83.3,10,0,677,3164,1434,747,717,96,4,7
Gaëtan Bong\Gaetan-Bong,CMR,MFDF,Brighton,31,1988,0.7,44,0,4,18,23,4,41,0,1,0,0,0,34,149,83,44,35,79.5,2,2
Sofiane Boufal\Sofiane-Boufal,MAR,MFFW,Southampton,25,1993,8.5,515,6,53,199,323,53,507,54,96,56.3,61,3,447,3838,2488,468,382,81.6,21,41
Jarrod Bowen\Jarrod-Bowen,ENG,FW,West Ham,22,1996,10.2,421,8,77,161,234,52,393,16,33,48.5,17,3,313,3056,1632,352,259,73.6,17,22
Robbie Brady\Robbie-Brady,IRL,MF,Burnley,27,1992,5,249,13,47,102,118,15,238,4,10,40,5,0,148,846,404,186,149,80.1,12,9
Jarrad Branthwaite\Jarrad-Branthwaite,ENG,DF,Everton,17,2002,3.3,242,45,138,117,2,0,237,0,0,,0,0,170,872,444,183,182,99.5,1,0
Claudio Bravo\Claudio-Bravo,CHI,GK,Manchester City,36,1983,3.9,137,116,136,1,0,0,101,1,1,100,1,0,76,283,146,77,76,98.7,0,0
Armando Broja\Armando-Broja,ALB,FW,Chelsea,17,2001,0.1,5,0,0,1,4,0,5,0,0,,0,0,5,15,1,7,5,71.4,1,1
David Brooks\David-Brooks,WAL,MF,Bournemouth,22,1997,5.6,236,4,29,85,138,10,214,13,25,52,14,3,165,1025,523,221,170,76.9,10,8
Josh Brownhill\Josh-Brownhill,ENG,MF,Burnley,23,1995,8.9,410,31,98,219,107,9,403,7,7,100,7,0,213,931,375,276,244,88.4,8,4
Emi Buendía\Emi-Buendia,ARG,FWMF,Norwich City,22,1996,27.4,1983,59,395,949,787,57,1798,106,139,76.3,111,3,1457,8210,4948,1561,1329,85.1,67,90
Dan Burn\Dan-Burn,ENG,DF,Brighton,27,1992,32,2247,171,781,1121,476,32,1975,25,43,58.1,27,2,1245,6771,3558,1438,1334,92.8,25,37
Sam Byram\Sam-Byram,ENG,DF,Norwich City,25,1993,14.4,1013,91,384,405,264,41,875,5,14,35.7,7,2,466,2240,1128,585,518,88.5,19,7
Willy Caballero\Willy-Caballero,ARG,GK,Chelsea,37,1981,5,177,166,177,0,0,0,146,0,0,,0,0,116,422,208,110,110,100,0,0
Gary Cahill\Gary-Cahill,ENG,DF,Crystal Palace,33,1985,24.1,1207,198,731,486,57,42,1170,8,10,80,8,0,657,3750,1571,758,728,96,7,4
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,ENG,FW,Everton,22,1997,29.2,973,38,81,422,519,144,949,15,34,44.1,18,1,503,3359,1319,1396,741,53.1,107,39
Víctor Camarasa\Victor-Camarasa,ESP,MF,Crystal Palace,25,1994,0.1,3,0,0,3,0,0,3,0,0,,0,0,3,28,9,3,3,100,0,0
João Cancelo\Joao-Cancelo,POR,DF,Manchester City,25,1994,13.4,1295,29,252,721,414,33,1195,46,63,73,49,4,969,4996,2718,970,931,96,11,13
Todd Cantwell\Todd-Cantwell,ENG,FWMF,Norwich City,21,1998,27.7,1511,42,273,757,607,92,1479,57,94,60.6,61,1,1103,6989,3729,1401,1111,79.3,59,50
Étienne Capoue\Etienne-Capoue,FRA,MF,Watford,31,1988,29.2,1748,97,455,1131,225,12,1671,32,44,72.7,33,2,1046,4341,1966,1053,995,94.5,10,28
Andy Carroll\Andy-Carroll,ENG,FW,Newcastle Utd,30,1989,7,320,26,44,148,137,31,315,5,8,62.5,6,1,156,668,217,404,232,57.4,28,19
Jonny Castro\Jonny-Castro,ESP,DF,Wolves,25,1994,32.1,1866,76,470,821,681,71,1562,30,76,39.5,40,2,1085,6777,4341,1199,1042,86.9,41,50
Craig Cathcart\Craig-Cathcart,NIR,DF,Watford,30,1989,27.6,1157,160,633,539,24,11,1135,4,6,66.7,4,0,607,2639,1066,600,584,97.3,3,5
Dani Ceballos\Dani-Ceballos,ESP,MF,Arsenal,22,1996,18.8,1492,56,346,882,403,21,1397,29,41,70.7,31,4,1083,7449,4007,1134,1074,94.7,12,25
Nathaniel Chalobah\Nathaniel-Chalobah,ENG,MF,Watford,24,1994,10.3,488,27,111,279,118,9,465,6,14,42.9,6,3,266,1117,517,297,246,82.8,7,12
Calum Chambers\Calum-Chambers,ENG,DF,Arsenal,24,1995,12.2,1028,130,457,429,188,27,936,13,18,72.2,13,1,681,2959,1638,715,678,94.8,7,11
Ben Chilwell\Ben-Chilwell,ENG,DF,Leicester City,22,1996,26.4,2310,77,627,1154,729,58,2015,23,46,50,25,0,1500,10242,6221,1634,1524,93.3,35,37
Tahith Chong\Tahith-Chong,NED,FWMF,Manchester Utd,19,1999,0.4,20,1,1,9,11,2,20,1,3,33.3,1,0,20,112,58,23,17,73.9,2,0
Hamza Choudhury\Hamza-Choudhury,ENG,MF,Leicester City,21,1997,9.9,609,30,162,364,109,11,599,7,13,53.8,7,0,400,1566,647,429,403,93.9,5,9
Andreas Christensen\Andreas-Christensen,DEN,DF,Chelsea,23,1996,19.5,1449,168,741,750,47,12,1417,2,2,100,2,0,1024,6114,3327,1068,1056,98.9,3,2
Ciaran Clark\Ciaran-Clark,IRL,DF,Newcastle Utd,29,1989,13.2,495,107,296,185,33,9,471,5,7,71.4,5,1,215,1071,392,223,207,92.8,4,2
Leon Clarke\Leon-Clarke,ENG,FWMF,Sheffield Utd,34,1985,0.4,11,2,4,2,5,2,11,0,0,,0,0,1,5,4,14,8,57.1,0,0
Tom Cleverley\Tom-Cleverley,ENG,MF,Watford,29,1989,10.8,583,21,106,288,214,25,555,4,6,66.7,4,0,374,1359,588,449,374,83.3,8,6
Conor Coady\Conor-Coady,ENG,DF,Wolves,26,1993,38,2046,354,1366,787,1,0,2012,6,6,100,6,0,1324,6936,3166,1357,1352,99.6,3,2
Séamus Coleman\Seamus-Coleman,IRL,DF,Everton,30,1988,20.4,1307,86,434,634,330,30,1089,38,62,61.3,44,6,783,5032,2799,782,691,88.4,24,17
Aaron Connolly\Aaron-Connolly,IRL,FW,Brighton,19,2000,14,349,2,21,148,200,61,334,6,16,37.5,6,1,228,1712,944,535,235,43.9,42,34
Lewis Cook\Lewis-Cook,ENG,MF,Bournemouth,22,1997,15,862,41,217,462,236,13,844,35,43,81.4,36,5,635,3349,1481,654,590,90.2,19,28
Steve Cook\Steve-Cook,ENG,DF,Bournemouth,28,1991,27,1559,262,941,621,69,26,1500,4,4,100,4,0,823,4492,2115,923,891,96.5,6,4
Jack Cork\Jack-Cork,ENG,MF,Burnley,30,1989,29,1229,64,219,793,286,31,1222,26,35,74.3,26,1,746,3859,1597,788,670,85,25,44
Aaron Cresswell\Aaron-Cresswell,ENG,DF,West Ham,29,1989,30.3,1971,107,549,943,562,26,1581,16,38,42.1,19,2,1076,4665,2306,1139,1047,91.9,9,13
Patrick Cutrone\Patrick-Cutrone,ITA,FW,Wolves,21,1998,3.3,105,1,10,51,49,17,98,5,9,55.6,6,0,70,478,231,173,60,34.7,10,9
Diogo Dalot\Diogo-Dalot,POR,DF,Manchester Utd,20,1999,0.7,78,4,12,31,35,4,64,0,0,,0,0,46,230,124,49,46,93.9,0,5
Charlie Daniels\Charlie-Daniels,ENG,DF,Bournemouth,32,1986,1.4,62,8,22,26,14,1,52,0,0,,0,0,37,169,67,30,29,96.7,1,0
Scott Dann\Scott-Dann,ENG,DF,Crystal Palace,32,1987,14.1,683,120,428,271,25,21,655,5,6,83.3,5,0,346,1666,983,391,378,96.7,1,0
Kevin Danso\Kevin-Danso,AUT,DF,Southampton,20,1998,3.1,206,12,65,104,49,2,173,3,6,50,3,0,115,683,322,123,109,88.6,8,1
Ben Davies\Ben-Davies,WAL,DF,Tottenham,26,1993,15.9,1138,58,385,575,228,23,968,8,15,53.3,8,0,589,2749,1578,667,642,96.3,5,9
Tom Davies\Tom-Davies,ENG,MF,Everton,21,1998,22.5,1118,48,288,691,204,23,1097,21,34,61.8,24,0,688,3888,2018,770,689,89.5,22,30
Keinan Davis\Keinan-Davis,ENG,FW,Aston Villa,21,1998,6.1,224,5,17,102,122,33,219,9,15,60,9,1,168,1169,571,311,179,57.6,19,19
Craig Dawson\Craig-Dawson,ENG,DF,Watford,29,1990,26.2,1225,167,634,562,79,47,1197,2,2,100,2,0,631,2921,1372,693,657,94.8,9,6
Kevin De Bruyne\Kevin-De-Bruyne,BEL,MF,Manchester City,28,1991,31,2577,30,220,1135,1405,164,2305,63,97,64.9,65,1,1816,9863,6500,2180,1949,89.4,43,44
Troy Deeney\Troy-Deeney,ENG,FW,Watford,31,1988,24.7,951,26,75,447,456,110,924,11,22,50,11,0,429,1700,712,1367,707,51.7,64,26
Fabian Delph\Fabian-Delph,ENG,MF,Everton,29,1989,13.2,895,32,230,582,150,1,882,20,24,83.3,20,0,620,3263,1515,635,613,96.5,10,9
Leander Dendoncker\Leander-Dendoncker,BEL,MFDF,Wolves,24,1995,31.1,1599,113,576,901,198,39,1583,17,21,81,17,1,957,4352,2169,1186,1011,85.2,23,16
Gerard Deulofeu\Gerard-Deulofeu,ESP,FW,Watford,25,1994,23.3,1126,13,145,428,669,157,1036,63,108,58.3,69,2,895,8042,5493,1107,769,69.5,53,50
Eric Dier\Eric-Dier,ENG,DFMF,Tottenham,25,1994,14.9,1035,118,475,547,61,11,1015,3,5,60,4,0,611,2911,1466,723,698,96.5,6,4
Lucas Digne\Lucas-Digne,FRA,DF,Everton,26,1993,33.7,2366,110,626,963,881,63,1827,25,43,58.1,27,2,1064,5744,3303,1288,1111,86.3,18,32
Virgil van Dijk\Virgil-van-Dijk,NED,DF,Liverpool,28,1991,38,3465,340,1427,2086,108,49,3382,3,5,60,4,0,2321,9327,4883,2568,2514,97.9,2,2
Issa Diop\Issa-Diop,FRA,DF,West Ham,22,1997,30.7,1268,238,698,600,34,22,1226,4,5,80,4,0,602,3976,1928,625,603,96.5,3,5
Moussa Djenepo\Moussa-Djenepo,MLI,MFDF,Southampton,21,1998,10.3,468,15,85,196,228,48,458,48,70,68.6,49,1,359,3030,2045,440,318,72.3,34,24
Matt Doherty\Matt-Doherty,IRL,DF,Wolves,27,1992,31.5,2157,82,508,1098,661,95,1822,29,52,55.8,30,5,1185,6275,4064,1542,1319,85.5,46,23
Abdoulaye Doucouré\Abdoulaye-Doucoure,FRA,MF,Watford,26,1993,35.1,2065,74,421,1114,668,98,2053,49,78,62.8,51,2,1427,7288,3971,1619,1370,84.6,44,50
Thomas Doyle\Thomas-Doyle,ENG,MFFW,Manchester City,17,2001,0.2,20,0,2,16,7,0,20,0,0,,0,0,19,100,20,19,19,100,0,0
Danny Drinkwater\Danny-Drinkwater,ENG,MF,Burnley,29,1990,0.6,26,2,6,19,1,0,25,0,1,0,0,0,11,43,5,16,11,68.8,0,1
Danny Drinkwater\Danny-Drinkwater,ENG,MF,Aston Villa,29,1990,2.9,199,6,62,110,33,2,195,2,3,66.7,2,0,117,489,173,136,126,92.6,2,6
Josip Drmić\Josip-Drmic,SUI,FWMF,Norwich City,26,1992,7.2,240,6,20,134,96,24,228,6,14,42.9,6,1,155,682,260,300,159,53,24,13
Martin Dúbravka\Martin-Dubravka,SVK,GK,Newcastle Utd,30,1989,38,1201,1030,1195,7,0,0,719,0,0,,0,0,435,2614,1424,338,338,100,3,0
Ondrej Duda\Ondrej-Duda,SVK,MF,Norwich City,24,1994,8,467,16,79,250,156,9,429,5,12,41.7,5,3,278,1230,526,401,307,76.6,14,3
Shane Duffy\Shane-Duffy,IRL,DF,Brighton,27,1992,13.8,800,124,503,304,35,16,766,2,5,40,3,0,420,2022,1047,465,455,97.8,6,2
Paul Dummett\Paul-Dummett,WAL,DF,Newcastle Utd,27,1991,13.6,663,92,337,264,86,6,613,1,3,33.3,1,0,327,1291,647,358,335,93.6,3,1
Lewis Dunk\Lewis-Dunk,ENG,DF,Brighton,27,1991,35.9,2547,436,1559,1029,107,43,2448,3,7,42.9,3,0,1596,8765,4727,1737,1712,98.6,7,10
Ederson\Ederson,BRA,GK,Manchester City,25,1993,34.1,1133,947,1121,25,0,0,950,0,0,,0,0,702,3209,2148,668,665,99.6,2,0
John Egan\John-Egan,IRL,DF,Sheffield Utd,26,1992,35.4,1670,248,896,792,65,47,1638,3,3,100,3,1,803,4700,2585,861,831,96.5,8,1
Harvey Elliot\Harvey-Elliot,ENG,DF,Liverpool,16,2003,0.1,16,0,0,5,11,0,12,1,1,100,1,0,10,44,13,14,11,78.6,0,1
